,time,region
0,2016-01-14,GSYD
1,2016-01-21,GSYD
2,2016-11-21,GSYD
3,2016-11-22,GSYD
4,2016-11-23,GSYD
5,2016-12-02,GSYD
6,2016-12-05,GSYD
7,2016-12-14,GSYD
8,2016-12-30,GSYD
9,2017-01-24,GSYD
10,2017-01-29,GSYD
11,2017-02-12,GSYD
12,2017-02-17,GSYD
13,2017-12-18,GSYD
14,2017-12-20,GSYD
15,2017-12-24,GSYD
16,2017-12-29,GSYD
17,2018-01-08,GSYD
18,2018-01-09,GSYD
19,2018-01-22,GSYD
20,2018-01-23,GSYD
21,2018-01-24,GSYD
22,2018-02-09,GSYD
23,2018-11-06,GSYD
24,2018-12-31,GSYD
25,2019-01-02,GSYD
26,2019-01-05,GSYD
27,2019-01-23,GSYD
28,2019-01-27,GSYD
29,2019-01-30,GSYD
30,2019-03-05,GSYD
31,2019-03-06,GSYD
32,2019-11-26,GSYD
33,2019-12-10,GSYD
34,2019-12-15,GSYD
35,2019-12-19,GSYD
36,2020-01-20,GSYD
37,2020-01-26,GSYD
38,2020-01-28,GSYD
39,2020-02-02,GSYD
40,2020-02-18,GSYD
41,2020-11-29,GSYD
42,2021-02-12,GSYD
43,2021-12-19,GSYD
44,2022-02-01,GSYD
45,2023-01-18,GSYD
46,2023-01-26,GSYD
47,2023-01-29,GSYD
48,2023-02-18,GSYD
49,2023-12-19,GSYD
50,2015-11-25,GMEL
51,2015-12-07,GMEL
52,2015-12-20,GMEL
53,2016-01-11,GMEL
54,2016-02-23,GMEL
55,2016-03-04,GMEL
56,2016-12-04,GMEL
57,2016-12-13,GMEL
58,2017-03-27,GMEL
59,2017-11-15,GMEL
60,2017-11-24,GMEL
61,2017-12-19,GMEL
62,2017-12-28,GMEL
63,2018-01-21,GMEL
64,2018-01-29,GMEL
65,2018-02-10,GMEL
66,2018-02-23,GMEL
67,2018-03-17,GMEL
68,2018-11-01,GMEL
69,2018-12-07,GMEL
70,2018-12-08,GMEL
71,2019-01-16,GMEL
72,2019-01-17,GMEL
73,2019-01-30,GMEL
74,2019-03-03,GMEL
75,2019-11-21,GMEL
76,2019-12-30,GMEL
77,2020-01-10,GMEL
78,2020-01-15,GMEL
79,2020-01-22,GMEL
80,2020-01-31,GMEL
81,2020-02-01,GMEL
82,2020-03-19,GMEL
83,2020-11-15,GMEL
84,2020-11-22,GMEL
85,2020-12-27,GMEL
86,2021-01-25,GMEL
87,2021-02-11,GMEL
88,2021-12-13,GMEL
89,2022-01-28,GMEL
90,2022-02-13,GMEL
91,2022-03-04,GMEL
92,2023-01-28,GMEL
93,2023-03-05,GMEL
94,2023-03-18,GMEL
95,2023-12-08,GMEL
96,2023-12-13,GMEL
97,2015-12-10,GBRI
98,2015-12-11,GBRI
99,2016-01-23,GBRI
100,2016-01-29,GBRI
101,2016-02-02,GBRI
102,2016-11-08,GBRI
103,2016-11-12,GBRI
104,2016-12-07,GBRI
105,2016-12-21,GBRI
106,2018-02-15,GBRI
107,2018-02-16,GBRI
108,2019-03-11,GBRI
109,2019-12-11,GBRI
110,2020-01-11,GBRI
111,2020-01-20,GBRI
112,2020-01-24,GBRI
113,2020-11-17,GBRI
114,2020-12-07,GBRI
115,2021-01-16,GBRI
116,2021-02-13,GBRI
117,2023-02-03,GBRI
118,2023-12-01,GBRI
119,2023-12-30,GBRI
120,2015-11-25,GADE
121,2015-12-07,GADE
122,2015-12-15,GADE
123,2015-12-19,GADE
124,2015-12-25,GADE
125,2016-01-13,GADE
126,2016-01-19,GADE
127,2016-02-23,GADE
128,2016-03-06,GADE
129,2017-01-07,GADE
130,2017-03-26,GADE
131,2017-11-13,GADE
132,2017-11-14,GADE
133,2017-12-18,GADE
134,2017-12-27,GADE
135,2018-01-11,GADE
136,2018-01-21,GADE
137,2018-01-27,GADE
138,2018-11-19,GADE
139,2018-12-12,GADE
140,2018-12-28,GADE
141,2019-01-16,GADE
142,2019-01-17,GADE
143,2019-04-05,GADE
144,2019-12-20,GADE
145,2020-01-31,GADE
146,2020-03-18,GADE
147,2020-11-10,GADE
148,2020-11-21,GADE
149,2020-11-22,GADE
150,2020-12-14,GADE
151,2021-01-11,GADE
152,2021-01-25,GADE
153,2021-02-11,GADE
154,2021-02-19,GADE
155,2022-01-01,GADE
156,2022-01-21,GADE
157,2023-01-14,GADE
158,2023-01-17,GADE
159,2023-12-08,GADE
160,2015-11-01,GHOB
161,2015-11-09,GHOB
162,2015-12-20,GHOB
163,2016-01-28,GHOB
164,2016-03-02,GHOB
165,2016-11-21,GHOB
166,2016-12-13,GHOB
167,2016-12-19,GHOB
168,2017-03-27,GHOB
169,2017-04-20,GHOB
170,2017-11-15,GHOB
171,2017-12-13,GHOB
172,2018-01-06,GHOB
173,2018-01-12,GHOB
174,2018-01-29,GHOB
175,2018-02-10,GHOB
176,2018-02-27,GHOB
177,2018-02-28,GHOB
178,2018-11-20,GHOB
179,2018-12-07,GHOB
180,2018-12-16,GHOB
181,2019-01-04,GHOB
182,2019-01-25,GHOB
183,2019-01-30,GHOB
184,2019-03-03,GHOB
185,2019-03-29,GHOB
186,2019-04-17,GHOB
187,2019-04-21,GHOB
188,2019-11-01,GHOB
189,2019-11-21,GHOB
190,2019-12-09,GHOB
191,2019-12-30,GHOB
192,2020-01-04,GHOB
193,2020-01-10,GHOB
194,2020-01-15,GHOB
195,2020-01-22,GHOB
196,2020-01-31,GHOB
197,2020-03-12,GHOB
198,2020-03-17,GHOB
199,2020-03-29,GHOB
200,2020-11-12,GHOB
201,2020-12-01,GHOB
202,2021-01-25,GHOB
203,2021-02-05,GHOB
204,2021-02-06,GHOB
205,2021-02-11,GHOB
206,2021-03-12,GHOB
207,2021-04-01,GHOB
208,2021-12-01,GHOB
209,2021-12-02,GHOB
210,2021-12-18,GHOB
211,2022-01-07,GHOB
212,2022-01-28,GHOB
213,2022-02-09,GHOB
214,2022-02-13,GHOB
215,2022-02-23,GHOB
216,2022-03-05,GHOB
217,2022-03-17,GHOB
218,2023-01-02,GHOB
219,2023-01-28,GHOB
220,2023-02-25,GHOB
221,2023-03-14,GHOB
222,2023-12-08,GHOB
223,2023-12-13,GHOB
224,2016-01-01,ACTE
225,2016-01-14,ACTE
226,2016-01-20,ACTE
227,2016-01-21,ACTE
228,2016-03-03,ACTE
229,2016-03-05,ACTE
230,2016-12-04,ACTE
231,2016-12-05,ACTE
232,2016-12-13,ACTE
233,2016-12-24,ACTE
234,2017-01-09,ACTE
235,2017-01-13,ACTE
236,2017-01-23,ACTE
237,2017-01-24,ACTE
238,2017-01-30,ACTE
239,2017-01-31,ACTE
240,2017-02-05,ACTE
241,2017-02-06,ACTE
242,2017-12-29,ACTE
243,2018-01-07,ACTE
244,2018-01-08,ACTE
245,2018-01-09,ACTE
246,2018-01-12,ACTE
247,2018-01-22,ACTE
248,2018-01-24,ACTE
249,2018-01-25,ACTE
250,2018-02-09,ACTE
251,2018-02-10,ACTE
252,2018-12-09,ACTE
253,2018-12-30,ACTE
254,2018-12-31,ACTE
255,2019-01-05,ACTE
256,2019-01-18,ACTE
257,2019-01-23,ACTE
258,2019-01-27,ACTE
259,2019-02-03,ACTE
260,2019-02-04,ACTE
261,2019-02-18,ACTE
262,2019-03-04,ACTE
263,2019-12-19,ACTE
264,2019-12-29,ACTE
265,2020-01-16,ACTE
266,2020-02-02,ACTE
267,2020-11-28,ACTE
268,2020-12-01,ACTE
269,2022-12-26,ACTE
270,2023-01-13,ACTE
271,2023-01-18,ACTE
272,2023-02-18,ACTE
273,2023-12-08,ACTE
274,2023-12-09,ACTE
275,2023-12-19,ACTE
