,time,region
0,2015-11-25,GMEL
1,2015-12-19,GMEL
2,2015-12-20,GMEL
3,2016-01-11,GMEL
4,2016-02-23,GMEL
5,2016-03-04,GMEL
6,2016-11-21,GMEL
7,2016-12-04,GMEL
8,2016-12-13,GMEL
9,2017-12-19,GMEL
10,2018-01-26,GMEL
11,2018-01-29,GMEL
12,2018-02-23,GMEL
13,2018-03-17,GMEL
14,2018-12-07,GMEL
15,2018-12-08,GMEL
16,2019-01-17,GMEL
17,2019-01-30,GMEL
18,2019-02-06,GMEL
19,2019-03-03,GMEL
20,2019-11-21,GMEL
21,2019-12-30,GMEL
22,2020-01-10,GMEL
23,2020-01-15,GMEL
24,2020-01-31,GMEL
25,2020-12-15,GMEL
26,2021-01-25,GMEL
27,2021-02-11,GMEL
28,2022-01-28,GMEL
29,2022-02-13,GMEL
30,2023-01-28,GMEL
31,2023-03-18,GMEL
32,2023-12-08,GMEL
0,2016-01-14,GSYD
1,2016-01-21,GSYD
2,2016-11-22,GSYD
3,2016-12-02,GSYD
4,2016-12-05,GSYD
5,2016-12-14,GSYD
6,2016-12-30,GSYD
7,2017-01-24,GSYD
8,2017-01-31,GSYD
9,2017-02-05,GSYD
10,2017-02-12,GSYD
11,2017-02-17,GSYD
12,2017-12-18,GSYD
13,2017-12-20,GSYD
14,2017-12-24,GSYD
15,2017-12-29,GSYD
16,2018-01-08,GSYD
17,2018-01-09,GSYD
18,2018-01-22,GSYD
19,2018-01-23,GSYD
20,2018-01-24,GSYD
21,2018-02-09,GSYD
22,2018-12-20,GSYD
23,2018-12-31,GSYD
24,2019-01-02,GSYD
25,2019-01-05,GSYD
26,2019-01-23,GSYD
27,2019-01-27,GSYD
28,2019-03-06,GSYD
29,2019-12-10,GSYD
30,2019-12-19,GSYD
31,2020-01-23,GSYD
32,2020-01-26,GSYD
33,2020-01-28,GSYD
34,2020-02-02,GSYD
35,2020-03-02,GSYD
36,2020-11-16,GSYD
37,2020-11-29,GSYD
38,2021-12-19,GSYD
39,2023-01-26,GSYD
40,2023-01-29,GSYD
41,2023-02-18,GSYD
0,2015-12-15,GADE
1,2015-12-19,GADE
2,2015-12-25,GADE
3,2016-01-10,GADE
4,2016-01-11,GADE
5,2016-01-13,GADE
6,2016-01-19,GADE
7,2016-02-22,GADE
8,2016-02-23,GADE
9,2016-03-06,GADE
10,2016-12-13,GADE
11,2017-01-07,GADE
12,2017-11-29,GADE
13,2017-12-13,GADE
14,2017-12-27,GADE
15,2018-01-11,GADE
16,2018-01-21,GADE
17,2018-01-27,GADE
18,2018-01-28,GADE
19,2018-11-19,GADE
20,2018-12-28,GADE
21,2019-01-11,GADE
22,2019-01-16,GADE
23,2019-01-17,GADE
24,2019-12-20,GADE
25,2020-11-10,GADE
26,2020-11-22,GADE
27,2021-01-11,GADE
28,2021-02-11,GADE
29,2021-02-19,GADE
30,2022-01-10,GADE
31,2023-01-14,GADE
32,2023-01-17,GADE
33,2023-12-08,GADE
0,2015-12-11,GBRI
1,2016-01-23,GBRI
2,2016-01-29,GBRI
3,2016-02-02,GBRI
4,2016-11-08,GBRI
5,2016-11-12,GBRI
6,2016-12-03,GBRI
7,2016-12-07,GBRI
8,2016-12-21,GBRI
9,2017-02-13,GBRI
10,2018-02-11,GBRI
11,2018-02-15,GBRI
12,2018-02-16,GBRI
13,2019-03-11,GBRI
14,2019-12-11,GBRI
15,2020-01-11,GBRI
16,2020-01-21,GBRI
17,2020-01-22,GBRI
18,2020-11-17,GBRI
19,2020-11-24,GBRI
20,2020-12-07,GBRI
21,2021-01-16,GBRI
22,2021-02-23,GBRI
23,2023-02-03,GBRI
24,2023-11-15,GBRI
