"","time","region","sanaa","carl","andrew"
"1","2015-11-01","GHOB",1,NA,NA
"2","2015-11-09","GHOB",1,NA,NA
"3","2015-11-25","GADE",1,NA,NA
"4","2015-11-25","GMEL",1,NA,1
"5","2015-12-07","GADE",1,NA,NA
"6","2015-12-07","GMEL",1,NA,NA
"7","2015-12-10","GBRI",1,NA,NA
"8","2015-12-11","GBRI",1,NA,1
"9","2015-12-15","GADE",1,NA,1
"10","2015-12-19","GADE",1,NA,1
"11","2015-12-19","GMEL",NA,NA,1
"12","2015-12-20","GHOB",1,NA,NA
"13","2015-12-20","GMEL",1,1,1
"14","2015-12-25","GADE",1,NA,1
"15","2016-01-01","ACTE",1,NA,NA
"16","2016-01-10","GADE",NA,NA,1
"17","2016-01-11","GADE",NA,NA,1
"18","2016-01-11","GMEL",1,NA,1
"19","2016-01-13","GADE",1,NA,1
"20","2016-01-14","ACTE",1,NA,NA
"21","2016-01-14","GSYD",1,NA,1
"22","2016-01-19","GADE",1,1,1
"23","2016-01-20","ACTE",1,NA,NA
"24","2016-01-21","ACTE",1,NA,NA
"25","2016-01-21","GSYD",1,NA,1
"26","2016-01-23","GBRI",1,1,1
"27","2016-01-28","GHOB",1,NA,NA
"28","2016-01-29","GBRI",1,NA,1
"29","2016-02-02","GBRI",1,1,1
"30","2016-02-22","GADE",NA,NA,1
"31","2016-02-23","GADE",1,NA,1
"32","2016-02-23","GMEL",1,NA,1
"33","2016-03-02","GHOB",1,NA,NA
"34","2016-03-03","ACTE",1,NA,NA
"35","2016-03-04","GMEL",1,NA,1
"36","2016-03-05","ACTE",1,NA,NA
"37","2016-03-06","GADE",1,NA,1
"38","2016-11-08","GBRI",1,NA,1
"39","2016-11-12","GBRI",1,NA,1
"40","2016-11-21","GHOB",1,NA,NA
"41","2016-11-21","GMEL",NA,NA,1
"42","2016-11-21","GSYD",1,NA,NA
"43","2016-11-22","GSYD",1,NA,1
"44","2016-11-23","GSYD",1,NA,NA
"45","2016-12-02","GSYD",1,NA,1
"46","2016-12-03","GBRI",NA,NA,1
"47","2016-12-04","ACTE",1,NA,NA
"48","2016-12-04","GMEL",1,1,1
"49","2016-12-05","ACTE",1,NA,NA
"50","2016-12-05","GSYD",1,NA,1
"51","2016-12-07","GBRI",1,NA,1
"52","2016-12-13","ACTE",1,NA,NA
"53","2016-12-13","GADE",NA,NA,1
"54","2016-12-13","GHOB",1,NA,NA
"55","2016-12-13","GMEL",1,NA,1
"56","2016-12-14","GSYD",1,1,1
"57","2016-12-19","GHOB",1,NA,NA
"58","2016-12-21","GBRI",1,NA,1
"59","2016-12-24","ACTE",1,NA,NA
"60","2016-12-30","GSYD",1,1,1
"61","2017-01-07","GADE",1,NA,1
"62","2017-01-09","ACTE",1,NA,NA
"63","2017-01-13","ACTE",1,NA,NA
"64","2017-01-23","ACTE",1,NA,NA
"65","2017-01-24","ACTE",1,NA,NA
"66","2017-01-24","GSYD",1,1,1
"67","2017-01-29","GSYD",1,NA,NA
"68","2017-01-30","ACTE",1,NA,NA
"69","2017-01-31","ACTE",1,NA,NA
"70","2017-01-31","GSYD",NA,NA,1
"71","2017-02-05","ACTE",1,NA,NA
"72","2017-02-05","GSYD",NA,NA,1
"73","2017-02-06","ACTE",1,NA,NA
"74","2017-02-12","GSYD",1,NA,1
"75","2017-02-13","GBRI",NA,NA,1
"76","2017-02-17","GSYD",1,1,1
"77","2017-03-26","GADE",1,NA,NA
"78","2017-03-27","GHOB",1,NA,NA
"79","2017-03-27","GMEL",1,NA,NA
"80","2017-04-20","GHOB",1,NA,NA
"81","2017-11-13","GADE",1,NA,NA
"82","2017-11-14","GADE",1,NA,NA
"83","2017-11-15","GHOB",1,NA,NA
"84","2017-11-15","GMEL",1,NA,NA
"85","2017-11-24","GMEL",1,NA,NA
"86","2017-11-29","GADE",NA,NA,1
"87","2017-12-13","GADE",NA,NA,1
"88","2017-12-13","GHOB",1,NA,NA
"89","2017-12-18","GADE",1,NA,NA
"90","2017-12-18","GSYD",1,NA,1
"91","2017-12-19","GMEL",1,NA,1
"92","2017-12-20","GSYD",1,NA,1
"93","2017-12-24","GSYD",1,NA,1
"94","2017-12-27","GADE",1,1,1
"95","2017-12-28","GMEL",1,NA,NA
"96","2017-12-29","ACTE",1,NA,NA
"97","2017-12-29","GSYD",1,NA,1
"98","2018-01-06","GHOB",1,NA,NA
"99","2018-01-07","ACTE",1,NA,NA
"100","2018-01-08","ACTE",1,NA,NA
"101","2018-01-08","GSYD",1,NA,1
"102","2018-01-09","ACTE",1,NA,NA
"103","2018-01-09","GSYD",1,1,1
"104","2018-01-11","GADE",1,NA,1
"105","2018-01-12","ACTE",1,NA,NA
"106","2018-01-12","GHOB",1,NA,NA
"107","2018-01-21","GADE",1,NA,1
"108","2018-01-21","GMEL",1,NA,NA
"109","2018-01-22","ACTE",1,NA,NA
"110","2018-01-22","GSYD",1,NA,1
"111","2018-01-23","GSYD",1,1,1
"112","2018-01-24","ACTE",1,NA,NA
"113","2018-01-24","GSYD",1,NA,1
"114","2018-01-25","ACTE",1,NA,NA
"115","2018-01-26","GMEL",NA,NA,1
"116","2018-01-27","GADE",1,NA,1
"117","2018-01-28","GADE",NA,NA,1
"118","2018-01-29","GHOB",1,NA,NA
"119","2018-01-29","GMEL",1,1,1
"120","2018-02-09","ACTE",1,NA,NA
"121","2018-02-09","GSYD",1,NA,1
"122","2018-02-10","ACTE",1,NA,NA
"123","2018-02-10","GHOB",1,NA,NA
"124","2018-02-10","GMEL",1,NA,NA
"125","2018-02-11","GBRI",NA,NA,1
"126","2018-02-15","GBRI",1,NA,1
"127","2018-02-16","GBRI",1,NA,1
"128","2018-02-23","GMEL",1,1,1
"129","2018-02-27","GHOB",1,NA,NA
"130","2018-02-28","GHOB",1,NA,NA
"131","2018-03-17","GMEL",1,NA,1
"132","2018-11-01","GMEL",1,NA,NA
"133","2018-11-06","GSYD",1,NA,NA
"134","2018-11-19","GADE",1,NA,1
"135","2018-11-20","GHOB",1,NA,NA
"136","2018-12-07","GHOB",1,NA,NA
"137","2018-12-07","GMEL",1,NA,1
"138","2018-12-08","GMEL",1,1,1
"139","2018-12-09","ACTE",1,NA,NA
"140","2018-12-12","GADE",1,NA,NA
"141","2018-12-16","GHOB",1,NA,NA
"142","2018-12-20","GSYD",NA,NA,1
"143","2018-12-28","GADE",1,NA,1
"144","2018-12-30","ACTE",1,NA,NA
"145","2018-12-31","ACTE",1,NA,NA
"146","2018-12-31","GSYD",1,NA,1
"147","2019-01-02","GSYD",1,NA,1
"148","2019-01-04","GHOB",1,NA,NA
"149","2019-01-05","ACTE",1,NA,NA
"150","2019-01-05","GSYD",1,NA,1
"151","2019-01-11","GADE",NA,NA,1
"152","2019-01-16","GADE",1,1,1
"153","2019-01-16","GMEL",1,NA,NA
"154","2019-01-17","GADE",1,NA,1
"155","2019-01-17","GMEL",1,1,1
"156","2019-01-18","ACTE",1,NA,NA
"157","2019-01-23","ACTE",1,NA,NA
"158","2019-01-23","GSYD",1,NA,1
"159","2019-01-25","GHOB",1,NA,NA
"160","2019-01-27","ACTE",1,NA,NA
"161","2019-01-27","GSYD",1,NA,1
