,time,region
0,2015-12-20,GMEL
1,2016-12-04,GMEL
2,2018-01-29,GMEL
3,2018-02-23,GMEL
4,2018-12-08,GMEL
5,2019-01-17,GMEL
6,2020-01-10,GMEL
7,2021-01-25,GMEL
8,2021-02-11,GMEL
9,2022-01-28,GMEL
0,2016-12-14,GSYD
1,2016-12-30,GSYD
2,2017-01-24,GSYD
3,2017-02-17,GSYD
4,2018-01-09,GSYD
5,2018-01-23,GSYD
6,2019-03-06,GSYD
7,2021-12-19,GSYD
8,2023-01-29,GSYD
0,2016-01-19,GADE
1,2017-12-27,GADE
2,2019-01-16,GADE
3,2020-11-10,GADE
4,2020-11-22,GADE
5,2021-02-11,GADE
6,2021-02-19,GADE
7,2023-01-17,GADE
8,2023-12-08,GADE
0,2016-01-23,GBRI
1,2016-02-02,GBRI
2,2020-12-07,GBRI
