,time,region
0,2015-11-18,GADE
1,2015-11-20,ACTE
2,2015-11-20,GSYD
3,2015-12-01,GSYD
4,2015-12-05,GADE
5,2015-12-06,GADE
6,2015-12-16,GADE
7,2015-12-17,GADE
8,2015-12-18,GADE
9,2015-12-18,GMEL
10,2015-12-19,ACTE
11,2015-12-19,GHOB
12,2015-12-19,GMEL
13,2015-12-20,ACTE
14,2015-12-25,GHOB
15,2015-12-31,GADE
16,2015-12-31,GHOB
17,2015-12-31,GMEL
18,2016-01-11,ACTE
19,2016-01-12,ACTE
20,2016-01-13,GHOB
21,2016-01-13,GMEL
22,2016-01-20,GSYD
23,2016-02-02,GHOB
24,2016-02-23,GHOB
25,2016-02-24,ACTE
26,2016-11-21,GMEL
27,2016-12-13,GSYD
28,2016-12-24,GMEL
29,2016-12-25,GHOB
30,2016-12-25,GMEL
31,2016-12-29,GSYD
32,2017-01-01,GBRI
33,2017-01-06,GADE
34,2017-01-07,GHOB
35,2017-01-07,GMEL
36,2017-01-08,GHOB
37,2017-01-11,GSYD
38,2017-01-12,GBRI
39,2017-01-14,GBRI
40,2017-01-17,ACTE
41,2017-01-17,GADE
42,2017-01-17,GMEL
43,2017-01-17,GSYD
44,2017-01-18,ACTE
45,2017-01-23,GMEL
46,2017-01-30,GSYD
47,2017-02-05,GSYD
48,2017-02-06,GSYD
49,2017-02-09,GADE
50,2017-02-09,GMEL
51,2017-02-10,ACTE
52,2017-02-10,GSYD
53,2017-02-11,ACTE
54,2017-02-11,GSYD
55,2017-02-12,GBRI
56,2017-03-01,GADE
57,2017-03-15,GHOB
58,2017-11-19,GHOB
59,2017-11-20,GHOB
60,2017-11-21,GHOB
61,2017-11-22,GHOB
62,2017-11-23,GHOB
63,2017-11-29,GADE
64,2017-11-30,GHOB
65,2017-11-30,GMEL
66,2017-12-13,GMEL
67,2017-12-14,GSYD
68,2017-12-19,GSYD
69,2018-01-06,GADE
70,2018-01-06,GMEL
71,2018-01-07,GSYD
72,2018-01-13,GBRI
73,2018-01-14,GBRI
74,2018-01-18,GADE
75,2018-01-18,GHOB
76,2018-01-18,GMEL
77,2018-01-19,ACTE
78,2018-01-19,GADE
79,2018-01-19,GMEL
80,2018-01-20,ACTE
81,2018-01-21,ACTE
82,2018-01-23,ACTE
83,2018-01-27,GHOB
84,2018-01-28,GADE
85,2018-01-28,GHOB
86,2018-01-28,GMEL
87,2018-02-07,GADE
88,2018-02-08,GADE
89,2018-02-12,GBRI
90,2018-11-02,GSYD
91,2018-12-02,GBRI
92,2018-12-06,GADE
93,2018-12-21,GBRI
94,2018-12-24,GHOB
95,2018-12-27,ACTE
96,2018-12-27,GADE
97,2018-12-27,GMEL
98,2018-12-28,ACTE
99,2018-12-28,GMEL
100,2018-12-28,GSYD
101,2018-12-29,ACTE
102,2018-12-29,GSYD
103,2018-12-30,GSYD
104,2019-01-01,ACTE
105,2019-01-01,GSYD
106,2019-01-02,ACTE
107,2019-01-03,GADE
108,2019-01-04,ACTE
109,2019-01-04,GMEL
110,2019-01-14,GADE
111,2019-01-15,ACTE
112,2019-01-15,GADE
113,2019-01-15,GHOB
114,2019-01-15,GMEL
115,2019-01-16,ACTE
116,2019-01-16,GSYD
117,2019-01-17,ACTE
118,2019-01-21,GHOB
119,2019-01-22,ACTE
120,2019-01-22,GADE
121,2019-01-24,GADE
122,2019-01-25,ACTE
