time,region
2015-11-18 12:00:00,GSYD
2015-11-18 13:00:00,GSYD
2015-11-18 14:00:00,GSYD
2015-11-18 15:00:00,GSYD
2015-11-18 16:00:00,GSYD
2015-11-19 11:00:00,GSYD
2015-11-19 12:00:00,GSYD
2015-11-19 13:00:00,GSYD
2015-11-19 14:00:00,GSYD
2015-11-19 15:00:00,GSYD
2015-11-19 16:00:00,GSYD
2015-11-20 10:00:00,GSYD
2015-11-20 11:00:00,GSYD
2015-11-20 12:00:00,GSYD
2015-11-20 13:00:00,GSYD
2015-11-20 14:00:00,GSYD
2015-11-20 15:00:00,GSYD
2015-11-20 16:00:00,GSYD
2015-11-25 12:00:00,GSYD
2015-11-25 13:00:00,GSYD
2015-11-25 14:00:00,GSYD
2015-11-25 15:00:00,GSYD
2015-11-25 16:00:00,GSYD
2015-11-26 10:00:00,GSYD
2015-11-26 11:00:00,GSYD
2015-11-26 12:00:00,GSYD
2015-11-26 13:00:00,GSYD
2015-11-26 14:00:00,GSYD
2015-12-01 10:00:00,GSYD
2015-12-01 11:00:00,GSYD
2015-12-01 12:00:00,GSYD
2015-12-01 13:00:00,GSYD
2015-12-01 14:00:00,GSYD
2015-12-01 15:00:00,GSYD
2015-12-01 16:00:00,GSYD
2015-12-09 12:00:00,GSYD
2015-12-09 13:00:00,GSYD
2015-12-09 14:00:00,GSYD
2015-12-09 15:00:00,GSYD
2015-12-09 16:00:00,GSYD
2015-12-11 11:00:00,GSYD
2015-12-11 12:00:00,GSYD
2015-12-11 13:00:00,GSYD
2015-12-11 14:00:00,GSYD
2015-12-11 15:00:00,GSYD
2015-12-14 13:00:00,GSYD
2015-12-14 14:00:00,GSYD
2015-12-18 14:00:00,GSYD
2015-12-18 15:00:00,GSYD
2015-12-19 11:00:00,GSYD
2015-12-19 12:00:00,GSYD
2015-12-19 13:00:00,GSYD
2015-12-19 14:00:00,GSYD
2015-12-19 15:00:00,GSYD
2015-12-19 16:00:00,GSYD
2015-12-20 11:00:00,GSYD
2015-12-20 12:00:00,GSYD
2015-12-20 13:00:00,GSYD
2015-12-20 14:00:00,GSYD
2015-12-20 15:00:00,GSYD
2015-12-20 16:00:00,GSYD
2016-01-11 11:00:00,GSYD
2016-01-11 12:00:00,GSYD
2016-01-11 13:00:00,GSYD
2016-01-11 14:00:00,GSYD
2016-01-11 15:00:00,GSYD
2016-01-11 16:00:00,GSYD
2016-01-12 10:00:00,GSYD
2016-01-12 11:00:00,GSYD
2016-01-12 12:00:00,GSYD
2016-01-12 13:00:00,GSYD
2016-01-12 14:00:00,GSYD
2016-01-12 15:00:00,GSYD
2016-01-13 14:00:00,GSYD
2016-01-13 15:00:00,GSYD
2016-01-13 16:00:00,GSYD
2016-01-14 10:00:00,GSYD
2016-01-14 11:00:00,GSYD
2016-01-14 12:00:00,GSYD
2016-01-19 13:00:00,GSYD
2016-01-19 14:00:00,GSYD
2016-01-19 15:00:00,GSYD
2016-01-19 16:00:00,GSYD
2016-01-20 10:00:00,GSYD
2016-01-20 11:00:00,GSYD
2016-01-20 12:00:00,GSYD
2016-01-20 13:00:00,GSYD
2016-01-20 14:00:00,GSYD
2016-01-20 15:00:00,GSYD
2016-01-20 16:00:00,GSYD
2016-01-21 10:00:00,GSYD
2016-01-21 11:00:00,GSYD
2016-01-21 12:00:00,GSYD
2016-01-21 13:00:00,GSYD
2016-01-21 14:00:00,GSYD
2016-02-14 11:00:00,GSYD
2016-02-14 12:00:00,GSYD
2016-02-14 13:00:00,GSYD
2016-02-14 14:00:00,GSYD
2016-02-14 15:00:00,GSYD
2016-02-14 16:00:00,GSYD
