time,region,nhours
2015-11-01,GHOB,2
2015-11-09,GHOB,1
2015-11-25,GADE,1
2015-11-25,GMEL,1
2015-12-07,GADE,1
2015-12-07,GMEL,1
2015-12-10,GBRI,1
2015-12-11,GBRI,1
2015-12-15,GADE,2
2015-12-19,GADE,3
2015-12-20,GHOB,3
2015-12-20,GMEL,2
2015-12-25,GADE,3
2016-01-01,ACTE,1
2016-01-11,GMEL,2
2016-01-13,GADE,4
2016-01-14,ACTE,1
2016-01-14,GSYD,4
2016-01-19,GADE,6
2016-01-20,ACTE,2
2016-01-21,ACTE,2
2016-01-21,GSYD,2
2016-01-23,GBRI,2
2016-01-28,GHOB,1
2016-01-29,GBRI,1
2016-02-02,GBRI,6
2016-02-23,GADE,3
2016-02-23,GMEL,2
2016-03-02,GHOB,1
2016-03-03,ACTE,3
2016-03-04,GMEL,1
2016-03-05,ACTE,2
2016-03-06,GADE,3
2016-11-08,GBRI,1
2016-11-12,GBRI,2
2016-11-21,GHOB,5
2016-11-21,GSYD,2
2016-11-22,GSYD,1
2016-11-23,GSYD,1
2016-12-02,GSYD,2
2016-12-04,ACTE,1
2016-12-04,GMEL,4
2016-12-05,ACTE,3
2016-12-05,GSYD,2
2016-12-07,GBRI,3
2016-12-13,ACTE,1
2016-12-13,GHOB,1
2016-12-13,GMEL,3
2016-12-14,GSYD,5
2016-12-19,GHOB,1
2016-12-21,GBRI,2
2016-12-24,ACTE,2
2016-12-30,GSYD,4
2017-01-07,GADE,1
2017-01-09,ACTE,3
2017-01-13,ACTE,3
2017-01-23,ACTE,1
2017-01-24,ACTE,1
2017-01-24,GSYD,6
2017-01-29,GSYD,2
2017-01-30,ACTE,1
2017-01-31,ACTE,1
2017-02-05,ACTE,1
2017-02-06,ACTE,1
2017-02-12,GSYD,1
2017-02-17,GSYD,3
2017-03-26,GADE,1
2017-03-27,GHOB,2
2017-03-27,GMEL,2
2017-04-20,GHOB,2
2017-11-13,GADE,1
2017-11-14,GADE,1
2017-11-15,GHOB,2
2017-11-15,GMEL,2
2017-11-24,GMEL,1
2017-12-13,GHOB,5
2017-12-18,GADE,2
2017-12-18,GSYD,1
2017-12-19,GMEL,1
2017-12-20,GSYD,3
2017-12-24,GSYD,2
2017-12-27,GADE,5
2017-12-28,GMEL,1
2017-12-29,ACTE,1
2017-12-29,GSYD,4
2018-01-06,GHOB,4
2018-01-07,ACTE,1
2018-01-08,ACTE,4
2018-01-08,GSYD,2
2018-01-09,ACTE,1
2018-01-09,GSYD,2
2018-01-11,GADE,2
2018-01-12,ACTE,1
2018-01-12,GHOB,1
2018-01-21,GADE,2
2018-01-21,GMEL,1
2018-01-22,ACTE,6
2018-01-22,GSYD,2
2018-01-23,GSYD,4
2018-01-24,ACTE,1
2018-01-24,GSYD,2
2018-01-25,ACTE,1
2018-01-27,GADE,1
2018-01-29,GHOB,5
2018-01-29,GMEL,5
2018-02-09,ACTE,1
2018-02-09,GSYD,1
2018-02-10,ACTE,3
2018-02-10,GHOB,2
2018-02-10,GMEL,1
2018-02-15,GBRI,2
2018-02-16,GBRI,1
2018-02-23,GMEL,1
2018-02-27,GHOB,1
2018-02-28,GHOB,1
2018-03-17,GMEL,2
2018-11-01,GMEL,3
2018-11-06,GSYD,3
2018-11-19,GADE,1
2018-11-20,GHOB,4
2018-12-07,GHOB,3
2018-12-07,GMEL,1
2018-12-08,GMEL,4
2018-12-09,ACTE,1
2018-12-12,GADE,1
2018-12-16,GHOB,3
2018-12-28,GADE,2
2018-12-30,ACTE,2
2018-12-31,ACTE,2
2018-12-31,GSYD,3
2019-01-02,GSYD,3
2019-01-04,GHOB,1
2019-01-05,ACTE,1
2019-01-05,GSYD,1
2019-01-16,GADE,4
2019-01-16,GMEL,2
2019-01-17,GADE,2
2019-01-17,GMEL,7
2019-01-18,ACTE,2
2019-01-23,ACTE,1
2019-01-23,GSYD,1
2019-01-25,GHOB,5
2019-01-27,ACTE,7
2019-01-27,GSYD,2
2019-01-30,GHOB,2
2019-01-30,GMEL,2
2019-01-30,GSYD,3
2019-02-03,ACTE,1
2019-02-04,ACTE,3
2019-02-18,ACTE,2
2019-03-03,GHOB,1
2019-03-03,GMEL,3
2019-03-04,ACTE,3
2019-03-05,GSYD,1
2019-03-06,GSYD,2
2019-03-11,GBRI,4
2019-03-29,GHOB,1
2019-04-05,GADE,1
2019-04-17,GHOB,4
2019-04-17,GMEL,1
2019-04-21,GHOB,2
2019-11-01,GHOB,5
2019-11-21,GHOB,2
2019-11-21,GMEL,2
2019-11-26,GSYD,1
2019-12-09,GHOB,3
2019-12-10,GSYD,2
2019-12-11,GBRI,1
2019-12-15,GSYD,2
2019-12-19,ACTE,1
