time,region
2016-01-14 13:00:00,GSYD
2016-01-14 14:00:00,GSYD
2016-01-14 15:00:00,GSYD
2016-01-14 16:00:00,GSYD
2016-01-21 15:00:00,GSYD
2016-01-21 16:00:00,GSYD
2016-11-21 14:00:00,GSYD
2016-11-21 15:00:00,GSYD
2016-11-22 15:00:00,GSYD
2016-11-23 13:00:00,GSYD
2016-12-02 14:00:00,GSYD
2016-12-02 15:00:00,GSYD
2016-12-05 13:00:00,GSYD
2016-12-05 14:00:00,GSYD
2016-12-14 11:00:00,GSYD
2016-12-14 13:00:00,GSYD
2016-12-14 14:00:00,GSYD
2016-12-14 15:00:00,GSYD
2016-12-14 16:00:00,GSYD
2016-12-30 12:00:00,GSYD
2016-12-30 13:00:00,GSYD
2016-12-30 14:00:00,GSYD
2016-12-30 15:00:00,GSYD
2017-01-24 10:00:00,GSYD
2017-01-24 11:00:00,GSYD
2017-01-24 12:00:00,GSYD
2017-01-24 13:00:00,GSYD
2017-01-24 14:00:00,GSYD
2017-01-24 15:00:00,GSYD
2017-01-29 14:00:00,GSYD
2017-01-29 15:00:00,GSYD
2017-02-12 15:00:00,GSYD
2017-02-17 12:00:00,GSYD
2017-02-17 13:00:00,GSYD
2017-02-17 14:00:00,GSYD
2017-12-18 14:00:00,GSYD
2017-12-20 13:00:00,GSYD
2017-12-20 14:00:00,GSYD
2017-12-20 15:00:00,GSYD
2017-12-24 14:00:00,GSYD
2017-12-24 15:00:00,GSYD
2017-12-29 13:00:00,GSYD
2017-12-29 14:00:00,GSYD
2017-12-29 15:00:00,GSYD
2017-12-29 16:00:00,GSYD
2018-01-08 15:00:00,GSYD
2018-01-08 16:00:00,GSYD
2018-01-09 13:00:00,GSYD
2018-01-09 14:00:00,GSYD
2018-01-22 15:00:00,GSYD
2018-01-22 16:00:00,GSYD
2018-01-23 12:00:00,GSYD
2018-01-23 13:00:00,GSYD
2018-01-23 14:00:00,GSYD
2018-01-23 15:00:00,GSYD
2018-01-24 14:00:00,GSYD
2018-01-24 15:00:00,GSYD
2018-02-09 16:00:00,GSYD
2018-11-06 12:00:00,GSYD
2018-11-06 14:00:00,GSYD
2018-11-06 15:00:00,GSYD
2018-12-31 14:00:00,GSYD
2018-12-31 15:00:00,GSYD
2018-12-31 16:00:00,GSYD
2019-01-02 14:00:00,GSYD
2019-01-02 15:00:00,GSYD
2019-01-02 16:00:00,GSYD
2019-01-05 16:00:00,GSYD
2019-01-23 13:00:00,GSYD
2019-01-27 15:00:00,GSYD
2019-01-27 16:00:00,GSYD
2019-01-30 14:00:00,GSYD
2019-01-30 15:00:00,GSYD
2019-01-30 16:00:00,GSYD
2019-03-05 15:00:00,GSYD
2019-03-06 12:00:00,GSYD
2019-03-06 13:00:00,GSYD
2019-11-26 11:00:00,GSYD
2019-12-10 15:00:00,GSYD
2019-12-10 16:00:00,GSYD
2019-12-15 14:00:00,GSYD
2019-12-15 15:00:00,GSYD
2019-12-19 13:00:00,GSYD
2019-12-19 14:00:00,GSYD
2019-12-19 15:00:00,GSYD
2020-01-20 13:00:00,GSYD
2020-01-26 14:00:00,GSYD
2020-01-28 16:00:00,GSYD
2020-02-02 14:00:00,GSYD
2020-02-02 15:00:00,GSYD
2020-02-18 15:00:00,GSYD
2020-02-18 16:00:00,GSYD
2020-11-29 15:00:00,GSYD
2020-11-29 16:00:00,GSYD
2021-02-12 16:00:00,GSYD
2021-12-19 13:00:00,GSYD
2021-12-19 14:00:00,GSYD
2022-02-01 14:00:00,GSYD
2023-01-18 15:00:00,GSYD
2023-01-26 14:00:00,GSYD
2023-01-26 15:00:00,GSYD
2023-01-29 13:00:00,GSYD
2023-01-29 14:00:00,GSYD
2023-02-18 14:00:00,GSYD
2023-02-18 16:00:00,GSYD
2023-12-19 13:00:00,GSYD
2024-01-24 14:00:00,GSYD
2024-01-25 10:00:00,GSYD
2024-01-25 11:00:00,GSYD
2024-01-25 12:00:00,GSYD
2024-01-25 13:00:00,GSYD
2024-01-25 14:00:00,GSYD
2024-01-25 15:00:00,GSYD
2024-01-25 16:00:00,GSYD
2024-02-05 11:00:00,GSYD
2024-02-05 12:00:00,GSYD
2024-02-05 13:00:00,GSYD
2024-02-05 14:00:00,GSYD
2024-02-13 14:00:00,GSYD
2024-02-23 16:00:00,GSYD
2024-02-29 15:00:00,GSYD
2024-02-29 16:00:00,GSYD
2024-03-01 14:00:00,GSYD
2024-03-14 14:00:00,GSYD
2024-11-07 11:00:00,GSYD
2024-11-07 12:00:00,GSYD
2024-11-27 14:00:00,GSYD
2024-11-27 15:00:00,GSYD
2015-11-25 16:00:00,GMEL
2015-12-07 14:00:00,GMEL
2015-12-20 13:00:00,GMEL
2015-12-20 14:00:00,GMEL
2016-01-11 15:00:00,GMEL
2016-01-11 16:00:00,GMEL
2016-02-23 15:00:00,GMEL
2016-02-23 16:00:00,GMEL
2016-03-04 16:00:00,GMEL
2016-12-04 13:00:00,GMEL
2016-12-04 14:00:00,GMEL
2016-12-04 15:00:00,GMEL
2016-12-04 16:00:00,GMEL
2016-12-13 13:00:00,GMEL
2016-12-13 14:00:00,GMEL
2016-12-13 16:00:00,GMEL
2017-03-27 12:00:00,GMEL
2017-03-27 13:00:00,GMEL
2017-11-15 13:00:00,GMEL
2017-11-15 14:00:00,GMEL
2017-11-24 11:00:00,GMEL
2017-12-19 11:00:00,GMEL
2017-12-28 12:00:00,GMEL
2018-01-21 14:00:00,GMEL
2018-01-29 11:00:00,GMEL
2018-01-29 12:00:00,GMEL
2018-01-29 13:00:00,GMEL
2018-01-29 14:00:00,GMEL
2018-01-29 15:00:00,GMEL
2018-02-10 13:00:00,GMEL
2018-02-23 13:00:00,GMEL
2018-03-17 15:00:00,GMEL
2018-03-17 16:00:00,GMEL
2018-11-01 13:00:00,GMEL
2018-11-01 14:00:00,GMEL
2018-11-01 15:00:00,GMEL
2018-12-07 16:00:00,GMEL
2018-12-08 10:00:00,GMEL
2018-12-08 11:00:00,GMEL
2018-12-08 12:00:00,GMEL
2018-12-08 13:00:00,GMEL
2019-01-16 13:00:00,GMEL
2019-01-16 14:00:00,GMEL
2019-01-17 10:00:00,GMEL
2019-01-17 11:00:00,GMEL
2019-01-17 12:00:00,GMEL
2019-01-17 13:00:00,GMEL
2019-01-17 14:00:00,GMEL
2019-01-17 15:00:00,GMEL
2019-01-17 16:00:00,GMEL
2019-01-30 15:00:00,GMEL
2019-01-30 16:00:00,GMEL
2019-03-03 14:00:00,GMEL
2019-03-03 15:00:00,GMEL
2019-03-03 16:00:00,GMEL
2019-04-17 15:00:00,GMEL
2019-11-21 13:00:00,GMEL
2019-11-21 14:00:00,GMEL
2019-12-30 15:00:00,GMEL
2019-12-30 16:00:00,GMEL
2020-01-10 11:00:00,GMEL
2020-01-10 12:00:00,GMEL
2020-01-10 13:00:00,GMEL
