time,region
2015-11-18,GADE
2015-11-20,ACTE
2015-11-20,GSYD
2015-12-01,GSYD
2015-12-05,GADE
2015-12-06,GADE
2015-12-16,GADE
2015-12-17,GADE
2015-12-18,GADE
2015-12-18,GMEL
2015-12-19,ACTE
2015-12-19,GHOB
2015-12-19,GMEL
2015-12-20,ACTE
2015-12-25,GHOB
2015-12-31,GADE
2015-12-31,GHOB
2015-12-31,GMEL
2016-01-11,ACTE
2016-01-12,ACTE
2016-01-13,GHOB
2016-01-13,GMEL
2016-01-20,GSYD
2016-02-02,GHOB
2016-02-23,GHOB
2016-02-24,ACTE
2016-11-21,GMEL
2016-12-13,GSYD
2016-12-24,GMEL
2016-12-25,GHOB
2016-12-25,GMEL
2016-12-29,GSYD
2016-12-31,GBRI
2017-01-01,GBRI
2017-01-06,GADE
2017-01-07,GHOB
2017-01-07,GMEL
2017-01-08,GHOB
2017-01-11,GSYD
2017-01-12,GBRI
2017-01-14,GBRI
2017-01-17,ACTE
2017-01-17,GADE
2017-01-17,GMEL
2017-01-17,GSYD
2017-01-18,ACTE
2017-01-23,GMEL
2017-01-30,GSYD
2017-02-05,GSYD
2017-02-06,GSYD
2017-02-09,GADE
2017-02-09,GMEL
2017-02-10,ACTE
2017-02-10,GSYD
2017-02-11,ACTE
2017-02-11,GSYD
2017-02-12,GBRI
2017-03-01,GADE
2017-03-15,GHOB
2017-11-19,GHOB
2017-11-20,GHOB
2017-11-21,GHOB
2017-11-22,GHOB
2017-11-23,GHOB
2017-11-29,GADE
2017-11-30,GHOB
2017-11-30,GMEL
2017-12-13,GMEL
2017-12-14,GSYD
2017-12-19,GSYD
2018-01-06,GADE
2018-01-06,GMEL
2018-01-07,GSYD
2018-01-13,GBRI
2018-01-14,GBRI
2018-01-18,GADE
2018-01-18,GHOB
2018-01-18,GMEL
2018-01-19,ACTE
2018-01-19,GADE
2018-01-19,GMEL
2018-01-20,ACTE
2018-01-21,ACTE
2018-01-23,ACTE
2018-01-27,GHOB
2018-01-28,GADE
2018-01-28,GHOB
2018-01-28,GMEL
2018-02-07,GADE
2018-02-08,GADE
2018-02-12,GBRI
2018-11-02,GSYD
2018-12-02,GBRI
2018-12-06,GADE
2018-12-21,GBRI
2018-12-24,GHOB
2018-12-27,ACTE
2018-12-27,GADE
2018-12-27,GMEL
2018-12-28,ACTE
2018-12-28,GMEL
2018-12-28,GSYD
2018-12-29,ACTE
2018-12-29,GSYD
2018-12-30,GSYD
2019-01-01,ACTE
2019-01-01,GSYD
2019-01-02,ACTE
2019-01-03,GADE
